rank,song_title,artist_name,score
1,連れてって連れてって,DREAMS COME TRUE,100
2,あしたの空,SPEED,99
3,Beautiful days,嵐,98
4,守りたいもの,青山テルマ,97
5,ORION,中島美嘉,96
6,ウィンター・レイン,エンヤ,95
7,おしゃれ番長,ORANGE RANGE feat ソイソース,94
8,LEECH,the GazettE,93
9,Candy kicks,辻詩音,92
10,イフ・アイ・ワー・ア・ボーイ,ビヨンセ,91
11,ヒトヒラのハナビラ,ステレオポニー,90
12,希望の唄,FUNKY MONKEY BABYS,89
13,ノクターン,平原綾香,88
14,もうすぐクリスマス,里田まいwith合田兄妹,87
15,時の足音,コブクロ,86
16,Dream Fighter,Perfume,85
17,キープス・ゲッティン・ベター,クリスティーナ・アギレラ,84
18,情熱の代償,GIRL NEXT DOOR,83
19,I'll be,YUI,82
20,シシカバブー,ゆず,81
21,ぷれぜんと,やなわらばー,80
22,PROMiSE,MiChi,79
23,インソムニア,クレイグ・デイヴィッド,78
24,今日も どこかで,小田和正,77
25,染まるよ,チャットモンチー,76
26,今夜もキャント・ストップ,サニーJ,75
27,Sky High,ゴスペラーズ,74
28,君がいるだけで,YA-KYIM respects 米米CLUB,73
29,愛 NEED,キマグレン,72
30,若葉,スピッツ,71
31,ニホンノミカタ-ネバダカラキマシタ-,矢島美容室,70
32,アイム・アライブ!,ベッカ,69
33,アー・ユー・レディー,ラスマス・フェイバー,68
34,スポットライト,ジェニファー・ハドソン,67
35,ソー・ホワット,ピンク,66
36,想-new love new world-,福山雅治,65
37,恋する雪 愛する空,CHEMISTRY,64
38,ヒューマン,キラーズ,63
39,優しい赤,福原美穂,62
40,I stand free,ACIDMAN,61
41,Miss you,COLOR,60
42,Long Kiss Good Bye,HALCALI,59
43,はじめて,一青窈,58
44,ロッタラロッタラ,Buono!,57
45,ブルージーズ,チェアリフト,56
46,無責任ヒーロー,関ジャニ∞[エイト],55
47,恋,Hi-Fi CAMP,54
48,ロック・アンド・ロール,エリック・ハッチンソン,53
49,Across The Sky,UNCHAIN,52
50,ゼロ,たむらぱん,51
51,Continue,SEAMO,50
52,マイアヒ・ライフ,T.I.,49
53,ウーマナイザー,ブリトニー・スピアーズ,48
54,ライト・ナウ(ナ・ナ・ナ),エイコン,47
55,ラヴァーズ・イン・ジャパン,コールドプレイ,46
56,グリーン・ライト,ジョン・レジェンドfeatアンドレ3000,45
57,ガッタ・ビー・サムバディ,ニッケルバック,44
58,縁の糸,竹内まりや,43
59,愛と夢のあいだで,EMI MARIA,42
60,真夜中のシャドーボーイ,Hey!Say!JUMP,41
61,素直になれたら,JUJU feat Spontania,40
62,I、愛、会い,ghostnote,39
63,Dream Believer〜星に願いを〜,"INFINITY 16 welcomez MINMI,HAN-KUN & 若旦那 from 湘南乃風,GOKI",38
64,うごかぬ想い〜ザ・マン・フー・キャント・ビー・ムーヴド,ザ・スクリプト,37
65,冒険彗星,榎本くるみ,36
66,Romantic,Rie fu,35
67,アイ・ドント・ケア,フォール・アウト・ボーイ,34
68,気まぐれロマンティック,いきものがかり,33
69,チャイニーズ・デモクラシー,ガンズ&ローゼス,32
70,プラネタリウム,いきものがかり,31
71,Eternally,宇多田ヒカル,30
72,オレポーズ〜俺なりのラブソング〜,PENGIN,29
73,藤沢ルーザー,ASIAN KUNG-FU GENERATION,28
74,アナザー・ウェイ・トゥ・ダイ,ジャック・ホワイト&アリシア・キーズ,27
75,CHAIN,BONNIE PINK,26
76,手紙〜拝啓十五の君へ〜,アンジェラ・アキ,25
77,繋がりSUNSET,Dragon Ash,24
78,DOLL,SCANDAL,23
79,SAYONARAベイベー,加藤ミリヤ,22
80,I'll Be There,BRIGHT,21
81,ザ・ワールド・シュド・リヴォルヴ・アラウンド・ミー,リトル・ジャッキー,20
82,ホット・アンド・コールド,ケイティ・ペリー,19
83,シングル・レディース(プット・ア・リング・オン・イット),ビヨンセ,18
84,翼,レミオロメン,17
85,夜行列車,キム・ランヒ,16
86,Say goodbye,パク・ヨンハ,15
87,暴走/列車,AC/DC,14
88,ビューティフル,クリスティーナ・アギレラ,13
89,花,SOFFet,12
90,幸せになろう,mihimaru GT,11
91,フォー・レター・ワード〜優柔不断なラブソング〜,ボーン・クレイン,10
92,Happy Birthday,NEWS,9
93,花の匂い,Mr.Children,8
94,ギミ・ラヴ,ザ・トルバドールズ,7
95,笑顔,和田青児,6
96,鋼の心,まきちゃんぐ,5
97,Beautiful fighter,angela,4
98,おつかれさまの国,斉藤和義,3
99,7シングス,マイリー・サイラス,2
100,ナナ,かりゆし58,1
