Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
桑田佳祐,君にサヨナラを,https://open.spotify.com/track/1I7xw3E2jHOsPLsarNlQWK,./downloaded_mp3/桑田佳祐_君にサヨナラを.mp3,2009,100,100,79.88,27.65,8,639,-0.81,-1.24,57,41
清水翔太,君が好き,https://open.spotify.com/track/3eXHuJ6JHV7OKnyDyxeQ1F,./downloaded_mp3/清水翔太_君が好き.mp3,2009,99,99,75.25,16.17,4,301,0.66,-1.74,65,48
w-inds.,New World,https://open.spotify.com/track/09nXLLElQ0ppZzwtPVs8sF,./downloaded_mp3/w-inds._New World.mp3,2009,98,98,54.25,41.94,4,217,-0.01,-2.31,39,13
BoA,まもりたい〜White Wishes〜,https://open.spotify.com/track/4qBWHPavQRjxAEKgHrLzRm,./downloaded_mp3/BoA_まもりたい〜White Wishes〜.mp3,2009,97,97,61.4,35.81,5,307,-0.18,-2.1,55,35
東京事変,能動的三分間,https://open.spotify.com/track/4veOvrYiK224LWEqHX39vv,./downloaded_mp3/東京事変_能動的三分間.mp3,2009,96,100,84.86,12.5,7,594,-0.13,-1.86,53,53
菅原紗由理,君がいるから,https://open.spotify.com/track/2ZPXckw9tmZc9g5tBXMWNk,./downloaded_mp3/菅原紗由理_君がいるから.mp3,2009,94,95,68.56,18.88,9,617,0.03,-1.44,36,31
福山雅治,はつ恋,https://open.spotify.com/track/6vOXITaqQUlPqFBHxfiP3g,./downloaded_mp3/福山雅治_はつ恋.mp3,2009,93,100,73.33,31.67,9,660,-0.86,-0.85,55,40
西野カナ,Dear…,https://open.spotify.com/track/332fDlQqsFVpB5wdwJ5SJt,./downloaded_mp3/西野カナ_Dear….mp3,2009,91,98,61.43,34.61,7,430,-0.48,-1.66,63,55
Mr.Children,fanfare,https://open.spotify.com/track/78thhWnYLGIBaEqNcmhyHL,./downloaded_mp3/Mr.Children_fanfare.mp3,2009,90,90,75.0,19.92,8,600,-1.22,0.1,66,46
BUMP OF CHICKEN,R.I.P.,https://open.spotify.com/track/5q2ajC9G3FOrh9ooEf18oF,./downloaded_mp3/BUMP OF CHICKEN_R.I.P..mp3,2009,86,99,58.31,30.98,13,758,-0.18,-1.62,64,26
