Artist,Track,URL,MP3_Path,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
ケツメイシ,出会いのかけら,https://open.spotify.com/track/6doG5A9BRiQjWEsyBtkkSF,./downloaded_mp3/ケツメイシ_出会いのかけら.mp3,100,100,77.0,23.83,8,616,-0.75,-0.97
ＲＡＤＷＩＭＰＳ,オーダーメイド,https://open.spotify.com/track/1WxQyR4cVfBMbwldZ0vNGn,./downloaded_mp3/ＲＡＤＷＩＭＰＳ_オーダーメイド.mp3,98,98,64.0,30.59,7,448,-0.56,-1.07
ＯＮＥ☆ＤＲＡＦＴ,一歩一歩〜終わりなき道しるべ〜,https://open.spotify.com/track/0O4h2EX4nmCxnM2QYWcL1X,./downloaded_mp3/ＯＮＥ☆ＤＲＡＦＴ_一歩一歩〜終わりなき道しるべ〜.mp3,89,89,48.0,30.14,4,192,0.37,-1.89
Ｓｕｐｅｒｆｌｙ,愛をこめて花束を,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,./downloaded_mp3/Superfly_愛をこめて花束を.mp3,87,94,28.77,24.19,102,2935,0.97,-0.04
大橋　卓弥,はじまりの歌,https://open.spotify.com/track/5lmFKtTHZ8xTNTSTaOefE4,./downloaded_mp3/大橋　卓弥_はじまりの歌.mp3,72,97,69.2,25.65,10,692,-1.12,0.12
中ノ森ＢＡＮＤ,風になりたい,https://open.spotify.com/track/2drxMvHdEqlXAER7BtuY8t,./downloaded_mp3/中ノ森ＢＡＮＤ_風になりたい.mp3,70,70,47.33,19.66,3,142,0.38,-2.33
奥　華子,手紙,https://open.spotify.com/track/5PRnczMFS4WcHfAXNnTD43,./downloaded_mp3/奥　華子_手紙.mp3,66,66,46.0,20.52,3,138,-0.05,-2.33
ＨＯＭＥ　ＭＡＤＥ　家族,おぼえてる。,https://open.spotify.com/track/6xvVaMJqdawujDS4MkG4Dv,./downloaded_mp3/ＨＯＭＥ　ＭＡＤＥ　家族_おぼえてる。.mp3,62,95,69.5,19.84,4,278,0.2,-1.97
一青　窈,受け入れて,https://open.spotify.com/track/6yVNJXPKDf7rjRR3ni75UV,./downloaded_mp3/一青　窈_受け入れて.mp3,56,87,65.0,19.16,3,195,0.37,-2.33
ゆず,ストーリー,https://open.spotify.com/track/2uc6vCYdbML7v2wMX7yyds,./downloaded_mp3/ゆず_ストーリー.mp3,42,98,57.0,27.84,11,627,-0.37,-1.14
ASIAN KUNG-FU GENERATION,転がる岩、君に朝が降る,https://open.spotify.com/track/33cvF54sRDtyflQJJ4fjbb,./downloaded_mp3/ASIAN KUNG-FU GENERATION_転がる岩、君に朝が降る.mp3,35,96,46.33,31.19,9,417,0.42,-1.64
チャットモンチー,ヒラヒラヒラク秘密ノ扉,https://open.spotify.com/track/5x4CTZqqmcKnxSevz56bwL,./downloaded_mp3/チャットモンチー_ヒラヒラヒラク秘密ノ扉.mp3,30,92,49.57,29.03,7,347,-0.01,-1.42
絢香,手をつなごう,https://open.spotify.com/track/1QoCVPSbayKifYbYIVDMV6,./downloaded_mp3/絢香_手をつなごう.mp3,27,99,54.42,27.76,12,653,0.18,-1.59
ＣＯＬＯＲ,君のいない道,https://open.spotify.com/track/1jOLRY5kqTzEHbZSpMPwcS,./downloaded_mp3/ＣＯＬＯＲ_君のいない道.mp3,26,26,16.0,9.54,3,48,0.1,-2.33
瀬口　侑希,幸せになってね,https://open.spotify.com/track/5q1drrfc2rhIVlsPUxptBq,./downloaded_mp3/瀬口　侑希_幸せになってね.mp3,25,25,17.33,8.02,3,52,-0.08,-2.33
ＥＴ−ＫＩＮＧ,晴レルヤ,https://open.spotify.com/track/1IfjNzzMnszOiiC9GreVBH,./downloaded_mp3/ＥＴ−ＫＩＮＧ_晴レルヤ.mp3,17,89,56.33,36.46,3,169,-0.18,-2.33
海老沢　タケヲ,ハルクル,https://open.spotify.com/track/5AI3Jg9ZfcMzfaenkylbaH,./downloaded_mp3/海老沢　タケヲ_ハルクル.mp3,14,16,15.0,1.0,3,45,0.0,-2.33
レミオロメン,粉雪,https://open.spotify.com/track/1Vimcaq6kgTq6xgHSnr4pS,./downloaded_mp3/レミオロメン_粉雪.mp3,8,51,23.49,15.8,39,916,0.28,-1.3
ＲＡＧ　ＦＡＩＲ,早春ラプソディ,https://open.spotify.com/track/6JdnNhnSA2vzUDfMyLSfwu,./downloaded_mp3/ＲＡＧ　ＦＡＩＲ_早春ラプソディ.mp3,6,85,32.33,45.61,3,97,0.38,-2.33
ジェロ,海雪,https://open.spotify.com/track/3rdp0EkfQjGc2z7zXjBQIb,./downloaded_mp3/ジェロ_海雪.mp3,92,92,60.77,21.57,13,790,0.01,-1.59
湘南乃風,黄金魂,https://open.spotify.com/track/5vzcqUy99JOsCvKeKmf0TG,./downloaded_mp3/湘南乃風_黄金魂.mp3,90,96,55.43,30.72,7,388,0.2,-1.97
キマグレン,あえないウタ,https://open.spotify.com/track/0UDOkZk0HkBBOqmqkNcuYd,./downloaded_mp3/キマグレン_あえないウタ.mp3,89,89,49.8,32.38,5,249,0.01,-2.04
NICO Touches the Walls,夜の果て,https://open.spotify.com/track/74gubSJL2HiW7l4jxKQb7q,./downloaded_mp3/NICO Touches the Walls_夜の果て.mp3,88,88,66.0,24.21,5,330,-0.41,-1.9
オトナモード,風になって,https://open.spotify.com/track/1pWSKx66yoXUzlVI2au8QB,./downloaded_mp3/オトナモード_風になって.mp3,86,95,84.8,9.09,5,424,-0.05,-2.16
ポルノグラフィティ,あなたがここにいたら,https://open.spotify.com/track/0EwCuOSVBnIpnLs9uAR72u,./downloaded_mp3/ポルノグラフィティ_あなたがここにいたら.mp3,81,100,63.8,34.14,5,319,-0.52,-1.5
ａｉｋｏ,二人,https://open.spotify.com/track/28dkaG14rPVPoNLPYJRBDW,./downloaded_mp3/aiko_二人.mp3,64,97,69.5,20.93,12,834,-0.87,-0.15
Every Little Thing,サクラビト,https://open.spotify.com/track/6dA8Vp3K67m9VYVFurMJId,./downloaded_mp3/Every Little Thing_サクラビト.mp3,60,93,49.6,29.19,5,248,0.32,-1.65
天童　よしみ,幸せはすぐそこに…,https://open.spotify.com/track/5NLbVHJUfOmd4gmawth9Rz,./downloaded_mp3/天童よしみ_幸せはすぐそこに….mp3,45,56,32.75,16.02,8,262,-0.16,-1.54
すぎもとまさと,吾亦紅,https://open.spotify.com/track/0QHRhrl6BDiGwppFlcVSlN,./downloaded_mp3/すぎもとまさと_吾亦紅.mp3,10,59,24.73,19.99,11,272,0.58,-1.23
NEWS,太陽のナミダ,https://open.spotify.com/track/26Y5Q1kRyKGqjfhilwR4pq,./downloaded_mp3/NEWS_太陽のナミダ.mp3,100,100,68.8,35.22,5,344,-0.43,-1.85
EXILE,Pure,https://open.spotify.com/track/4i2mHCOkZi3sZSDekVxwTj,./downloaded_mp3/EXILE_Pure.mp3,99,99,75.5,26.4,4,302,-0.31,-2.06
YUI,Namidairo,https://open.spotify.com/track/2g3gBvIRMyYSmaQFDNLutE,./downloaded_mp3/YUI_Namidairo.mp3,98,98,64.25,39.09,4,257,-0.37,-2.02
清水翔太,HOME,https://open.spotify.com/track/3zQtfqcTwgaz8zV4HJak7m,./downloaded_mp3/清水翔太_HOME.mp3,97,97,63.44,27.18,9,571,-0.4,-1.09
宇多田ヒカル,HEART STATION,https://open.spotify.com/track/4XxGTwKkbYkIfBQG7JyNVh,./downloaded_mp3/宇多田ヒカル_HEART STATION.mp3,96,96,54.25,28.19,8,434,0.3,-1.85
BoA,be with you.,https://open.spotify.com/track/7usZwZytGina9iTXSx6RLz,./downloaded_mp3/BoA_be with you..mp3,93,93,57.67,38.89,3,173,-0.16,-2.33
嵐,Step and Go,https://open.spotify.com/track/7kp6sxHL7YcjbEwDvcSvYj,./downloaded_mp3/嵐_Step and Go.mp3,90,90,53.0,39.01,4,212,-0.26,-2.09
加藤ミリヤ,19 Memories,https://open.spotify.com/track/7uy2vSHBES9o1zPoyazMf7,./downloaded_mp3/加藤ミリヤ_19 Memories.mp3,84,84,40.0,28.23,7,280,0.13,-1.52
BENNIE K,モノクローム,https://open.spotify.com/track/1J1Bn4IC6NKwhWBvdBNbMt,./downloaded_mp3/BENNIE K_モノクローム.mp3,79,79,43.0,35.51,3,129,0.03,-2.33
木山裕策,home,https://open.spotify.com/track/4Zfk15eeUW2Fi8dubC93BG,./downloaded_mp3/木山裕策_home.mp3,60,64,26.88,23.62,8,215,0.6,-1.56
桑田佳祐,DEAR MY FRIEND,https://open.spotify.com/track/03LRwZHdLJZvrfzdZCEnR5,./downloaded_mp3/桑田佳祐_DEAR MY FRIEND.mp3,53,95,61.14,31.76,7,428,-0.04,-2.02
氷川きよし,玄海船歌,https://open.spotify.com/track/1zmo6DaTYcw7X4yv5BkC38,./downloaded_mp3/氷川きよし_玄海船歌.mp3,48,48,31.0,19.78,4,124,-0.52,-1.84
ナイス橋本,マイ★フレンド,https://open.spotify.com/track/4pGHS5HB9Rda2PdkMETfV8,./downloaded_mp3/ナイス橋本_マイ★フレンド.mp3,47,87,56.5,23.74,4,226,0.21,-1.98
木村カエラ,Jasper,https://open.spotify.com/track/0bkiYgWXdG8syPsm6j2Hcd,./downloaded_mp3/木村カエラ_Jasper.mp3,38,38,19.67,18.5,3,59,-0.02,-2.33
SOTTE BOSSE,ひらり,https://open.spotify.com/track/3gl0yP9NwTAFwhq7qoW7HM,./downloaded_mp3/SOTTE BOSSE_ひらり.mp3,19,74,46.33,27.5,3,139,0.01,-2.33
KREVA,あかさたなはまやらわをん,https://open.spotify.com/track/3eIV8k6jvG0vSvUG4IHZku,./downloaded_mp3/KREVA_あかさたなはまやらわをん.mp3,12,72,31.67,34.93,3,95,0.38,-2.33
GReeeeN,旅立ち,https://open.spotify.com/track/54ZRuHMrlqk83ddZX1BBO8,./downloaded_mp3/GReeeeN_旅立ち.mp3,78,78,42.5,29.73,4,170,0.16,-2.24
一青窈,空中ブランコ,https://open.spotify.com/track/0teB42jp1nrk4szYs8xGu7,./downloaded_mp3/一青窈_空中ブランコ.mp3,67,67,40.0,29.21,3,120,-0.13,-2.33
レミオロメン,3月9日,https://open.spotify.com/track/31rf3jLBMfnrqLuTPrcxM5,./downloaded_mp3/レミオロメン_3月9日.mp3,56,96,51.45,24.72,69,3550,0.04,-1.05
THE ALFEE,Lifetime Love,https://open.spotify.com/track/2GeRUdQCrXNzDfmXhaXAMW,./downloaded_mp3/THE ALFEE_Lifetime Love.mp3,52,94,62.5,21.02,4,250,0.75,-1.69
鶴,恋のゴング,https://open.spotify.com/track/1ygBuxr0wNo7UBnwUPE8hr,./downloaded_mp3/鶴_恋のゴング.mp3,37,88,57.2,27.22,5,286,0.01,-2.1
山崎まさよし,真夜中のBoon Boon,https://open.spotify.com/track/3AnGut9MM2la1wXkDtGpBz,./downloaded_mp3/山崎まさよし_真夜中のBoon Boon.mp3,16,86,53.33,35.23,3,160,-0.13,-2.33
The Gospellers,青い鳥,https://open.spotify.com/track/4c7hgoL7DMUqL6oUxD6UPV,./downloaded_mp3/The Gospellers_青い鳥.mp3,3,92,54.67,46.2,3,164,-0.28,-2.33
YUI,Laugh away,https://open.spotify.com/track/4vaEjUmTh0M8BQW9OLciie,./downloaded_mp3/YUI_Laugh away.mp3,72,96,65.5,31.0,10,655,-0.84,-0.75
FUNKY MONKEY BABYS,旅立ち,https://open.spotify.com/track/3i10BgSE1GZkHGwU8nAGrb,./downloaded_mp3/FUNKY MONKEY BABYS_旅立ち.mp3,27,99,65.33,27.31,6,392,-0.06,-1.77
秦基博,キミ、メグル、ボク,https://open.spotify.com/track/4JMGg6b9HEv6wVzWHcTEIC,./downloaded_mp3/秦基博_キミ、メグル、ボク.mp3,15,99,57.8,25.42,10,578,0.06,-1.18
東京スカパラダイスオーケストラ,Pride Of Lions,https://open.spotify.com/track/5Op8DvZ2SIZRxmrZojEA3E,./downloaded_mp3/東京スカパラダイスオーケストラ_Pride Of Lions.mp3,46,74,48.67,24.11,3,146,0.11,-2.33
ケツメイシ,さくら,https://open.spotify.com/track/5rfUCmoI7axj6mjpu1Rto5,./downloaded_mp3/ケツメイシ_さくら.mp3,37,92,48.33,24.76,63,3045,-0.1,-1.11
大橋卓弥,ありがとう,https://open.spotify.com/track/7vgvfXICUyLXzgtGBP5Y6Z,./downloaded_mp3/大橋卓弥_ありがとう.mp3,24,98,65.86,26.5,7,461,-0.37,-1.59
