Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
スキマスイッチ,奏(かなで),https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,./downloaded_mp3/スキマスイッチ_奏(かなで).mp3,2011,28,74,20.57,14.48,185,3806,0.97,1.07,61,73
松任谷由実,守ってあげたい,https://open.spotify.com/track/0aRPz0c89bqxTA5spi8iZ7,./downloaded_mp3/松任谷由実_守ってあげたい.mp3,2011,5,34,14.67,16.74,3,44,0.38,-2.33,59,57
ゆず,栄光の架橋,https://open.spotify.com/track/6LtgrHfq3Q7O9PHcAZxkEH,./downloaded_mp3/ゆず_栄光の架橋.mp3,2011,34,72,28.4,18.4,20,568,0.97,0.48,56,54
きゃりーぱみゅぱみゅ,つけまつける,https://open.spotify.com/track/3ou1fnaevjh2rj6gSNLTim,./downloaded_mp3/きゃりーぱみゅぱみゅ_つけまつける.mp3,2011,38,98,53.83,31.02,18,969,-0.2,-1.21,52,43
AI,ハピネス,https://open.spotify.com/track/4Ls20opS0EzPb7NuA6F8VI,./downloaded_mp3/AI_ハピネス.mp3,2011,44,99,52.08,28.68,64,3333,-0.22,-1.16,56,60
back number,花束,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ,./downloaded_mp3/back number_花束.mp3,2011,15,98,32.18,21.95,117,3765,0.97,0.8,77,75
槇原敬之,遠く遠く,https://open.spotify.com/track/6jljTubNfEw3OWdhItKGDG,./downloaded_mp3/槇原敬之_遠く遠く.mp3,2011,3,47,23.0,17.0,7,161,0.35,-1.76,58,58
福山雅治,家族になろうよ,https://open.spotify.com/track/64awLoKSPoQ5M6YulMsyCe,./downloaded_mp3/福山雅治_家族になろうよ.mp3,2011,21,100,55.09,29.77,34,1873,-0.19,-1.37,55,57
RADWIMPS,君と羊と青,https://open.spotify.com/track/17A3UTMUWzCRn7I42exBhF,./downloaded_mp3/RADWIMPS_君と羊と青.mp3,2011,17,82,39.71,25.07,7,278,0.43,-1.41,75,65
かりゆし58,アンマー,https://open.spotify.com/track/0ShOMmXTJmLMDAN3G40Vqu,./downloaded_mp3/かりゆし58_アンマー.mp3,2011,57,57,40.75,16.44,4,163,-0.41,-1.84,49,59
ゴールデンボンバー,女々しくて,https://open.spotify.com/track/1z9sbRTej9JymuzC65xFlS,./downloaded_mp3/ゴールデンボンバー_女々しくて.mp3,2011,22,99,49.22,27.16,32,1575,0.03,-1.28,45,52
EXILE,Rising Sun,https://open.spotify.com/track/2FfU6BLvwYySpKnVmG2XJh,./downloaded_mp3/EXILE_Rising Sun.mp3,2011,5,100,54.91,31.48,32,1757,-0.02,-1.44,60,41
Kis-My-Ft2,Everybody Go,https://open.spotify.com/track/0c63vRRDr3o0PZ7H4Yayw2,./downloaded_mp3/Kis-My-Ft2_Everybody Go.mp3,2011,8,100,60.86,38.76,7,426,-0.28,-2.01,49,42
AKB48,上からマリコ,https://open.spotify.com/track/0vsgOfTLFru6SBOLl3MQPr,./downloaded_mp3/AKB48_上からマリコ.mp3,2011,100,100,72.25,30.42,8,578,-0.69,-1.13,56,33
flumpool,Present,https://open.spotify.com/track/3w3gpPZXnCte782xsoWA1X,./downloaded_mp3/flumpool_Present.mp3,2011,97,97,56.8,35.05,5,284,-0.0,-2.15,47,19
斉藤和義,やさしくなりたい,https://open.spotify.com/track/4XkqVSWIPb07iLEDvAPq93,./downloaded_mp3/斉藤和義_やさしくなりたい.mp3,2011,96,99,59.16,37.56,31,1834,-0.39,-1.64,53,59
BoA,Milestone,https://open.spotify.com/track/7hRTdrLLFTxosyaJ8xClmO,./downloaded_mp3/BoA_Milestone.mp3,2011,94,94,82.67,10.26,3,248,0.24,-2.33,55,18
放課後ティータイム,Singing!,https://open.spotify.com/track/5FX7TJwGrNFasrv5D6ldz0,./downloaded_mp3/放課後ティータイム_Singing!.mp3,2011,93,93,69.33,31.18,3,208,-0.32,-2.33,46,34
放課後ティータイム,Unmei♪wa♪Endless!,https://open.spotify.com/track/0LoGJrS5kTRw9w1lQUiVPz,./downloaded_mp3/放課後ティータイム_Unmei♪wa♪Endless!.mp3,2011,92,92,67.33,31.39,3,202,-0.3,-2.33,46,30
Crystal Kay,Superman,https://open.spotify.com/track/1oXIaR0PceRoYTYDzwWmZD,./downloaded_mp3/Crystal Kay_Superman.mp3,2011,90,94,75.5,14.74,10,755,-0.19,-1.57,50,28
EXILE,あなたへ,https://open.spotify.com/track/3n7lc5V2p1RJUpZ53ovD03,./downloaded_mp3/EXILE_あなたへ.mp3,2011,87,100,72.71,24.78,7,509,-0.25,-1.99,60,40
倖田來未,Love Me Back,https://open.spotify.com/track/77VRhBXqcyVWXRd1zwozzB,./downloaded_mp3/倖田來未_Love Me Back.mp3,2011,79,92,81.0,10.15,3,243,0.19,-2.33,56,28
東方神起,Winter Rose,https://open.spotify.com/track/5yixz3SOHDkvj3HHlpRbT3,./downloaded_mp3/東方神起_Winter Rose.mp3,2011,77,99,68.75,24.01,4,275,0.25,-2.15,53,23
HiGE,それではみなさん良い旅を!,https://open.spotify.com/track/3AVengj1cS2qCQVvjavsVY,./downloaded_mp3/HiGE_それではみなさん良い旅を!.mp3,2011,76,76,61.67,12.5,3,185,0.36,-2.33,20,14
KARA,ウィンターマジック,https://open.spotify.com/track/2CxU9n22Xu22U1Wl1S1qCJ,./downloaded_mp3/KARA_ウィンターマジック.mp3,2011,74,99,75.5,26.31,14,1057,-1.73,1.93,51,34
