Artist,Track,URL,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
BiSH,stereo future,https://open.spotify.com/track/1V9fhEM1WBJuwdrmRFrxIo,97,97,32.8,38.93,5,164,0.71,-1.37
米津玄師,Lemon,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6,96,100,49.8,35.29,348,17332,0.18,-1.6
DA PUMP,U.S.A.,https://open.spotify.com/track/4qZyuyqLoZ3CaH79rGvJFR,95,99,73.24,30.47,76,5566,-0.98,-0.39
米津玄師,Flamingo,https://open.spotify.com/track/3ILWwi1JNj3NGuuf6DzYxN,94,100,64.27,29.79,56,3599,-0.54,-1.08
Uru,プロローグ,https://open.spotify.com/track/4YMukCV1BsdK8V9kZoQpT6,93,95,59.59,25.7,39,2324,-0.23,-1.22
あいみょん,今夜このまま,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3,92,97,56.96,30.26,92,5240,-0.23,-1.39
back number,オールドファッション,https://open.spotify.com/track/0Xn30nT5EKFPsWvpiJ2Iav,89,100,55.08,33.3,26,1432,-0.09,-1.68
ONE OK ROCK,Stand Out Fit In,https://open.spotify.com/track/17EiIn0d2tftCjJrGOrbFj,86,92,59.93,21.85,30,1798,-0.41,-0.67
TWICE,YES or YES,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP,85,96,67.71,20.45,31,2099,-0.97,0.46
AAA,笑顔のループ,https://open.spotify.com/track/2tnX0ZvYBMRQbSetHscqAP,84,92,44.56,32.44,9,401,0.17,-1.65
あいみょん,マリーゴールド,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,83,100,59.73,22.88,382,22815,0.12,-0.8
back number,クリスマスソング,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su,82,100,52.98,29.97,147,7788,-0.03,-1.41
AKB48,NO WAY MAN,https://open.spotify.com/track/7iXDV0g36PsiKOrAn3ftYu,81,100,55.8,33.58,5,279,0.23,-2.04
IZ*ONE,La Vie en Rose,https://open.spotify.com/track/3WfaJhCL4p2JbdffJjV6Va,80,80,54.29,17.84,17,923,-0.22,-0.43
欅坂46,アンビバレント,https://open.spotify.com/track/5WDKR3hzbHiXWgbMPyOcLk,78,100,65.47,27.61,32,2095,-0.82,-0.53
