Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
back number,クリスマスソング,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su,./downloaded_mp3/back number_クリスマスソング.mp3,2015,82,100,52.98,29.97,147,7788,-0.03,-1.41,77,71
あいみょん,君はロックを聴かない,https://open.spotify.com/track/01IZAuQsBO00iLKFO9LsFf,./downloaded_mp3/あいみょん_君はロックを聴かない.mp3,2017,70,90,52.53,24.55,144,7565,-0.35,-0.8,70,51
DAOKO × 米津玄師,打上花火,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,./downloaded_mp3/DAOKO × 米津玄師_打上花火.mp3,2017,69,100,59.17,31.78,163,9644,-0.55,-1.17,55,61
米津玄師,LOSER,https://open.spotify.com/track/7AqUE5AY514dbzeOAfJRa0,./downloaded_mp3/米津玄師_LOSER.mp3,2016,68,98,49.6,26.78,128,6349,-0.16,-1.03,80,67
あいみょん,愛を伝えたいだとか,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO,./downloaded_mp3/あいみょん_愛を伝えたいだとか.mp3,2017,62,86,42.92,25.19,97,4163,0.05,-1.31,70,71
BoA,メリクリ,https://open.spotify.com/track/3fxaN9pj6g4crVCzMTqRd0,./downloaded_mp3/BoA_メリクリ.mp3,2008,61,80,46.51,21.71,43,2000,-0.41,-1.12,55,58
米津玄師,アイネクライネ,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,./downloaded_mp3/米津玄師_アイネクライネ.mp3,2014,49,82,38.63,20.6,134,5177,-0.0,-0.88,80,69
HY,366日,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc,./downloaded_mp3/HY_366日.mp3,2008,41,80,26.16,19.37,56,1465,1.18,0.95,57,66
スキマスイッチ,奏(かなで),https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,./downloaded_mp3/スキマスイッチ_奏(かなで).mp3,2011,28,74,20.57,14.48,185,3806,0.97,1.07,61,73
サカナクション,新宝島,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1,./downloaded_mp3/サカナクション_新宝島.mp3,2015,21,100,35.02,27.67,131,4588,0.88,-0.38,66,56
欅坂46,サイレントマジョリティー,https://open.spotify.com/track/6vqGGV7ZGWYFRg5EtlcuN5,./downloaded_mp3/欅坂46_サイレントマジョリティー.mp3,2016,13,100,55.03,25.21,149,8200,-0.32,-0.91,49,53
Mr.Children,HANABI,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua,./downloaded_mp3/Mr.Children_HANABI.mp3,2008,1,100,43.21,30.89,112,4839,0.29,-1.43,66,67
星野源,恋,https://open.spotify.com/track/5Hu29JT4xtbRUBTZeOAjxW,./downloaded_mp3/星野源_恋.mp3,2016,59,100,58.97,33.03,139,8197,-0.23,-1.44,66,61
B'z,いつかのメリークリスマス,https://open.spotify.com/track/3Ro8jrbsWu0VSk1odLLYuo,./downloaded_mp3/B'z_いつかのメリークリスマス.mp3,2008,41,86,39.35,20.69,26,1023,-0.14,-0.55,66,53
松任谷由実,恋人がサンタクロース,https://open.spotify.com/track/7K1w8pMu2MeXgU3FPqwxbR,./downloaded_mp3/松任谷由実_恋人がサンタクロース.mp3,2008,18,68,38.89,19.66,18,700,-0.46,-1.2,59,54
