アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
back number,ヒロイン,99,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H,76,72
JYJ,WAKE ME TONIGHT,98,https://open.spotify.com/track/1EuWK90SKHWoJBQoGmjr61,36,26
B1A4,白いキセキ,97,https://open.spotify.com/track/4ZAgz4Kva0iagqwYXMRRvh,41,5
B'z,有頂天,96,https://open.spotify.com/track/5pwWqj6xvpuwsYpC2dz6hN,65,47
SEKAI NO OWARI,Dragon Night,95,https://open.spotify.com/track/4XdzCpY4Ekv5SezuuFpBDG,64,62
Block B,Very Good,94,https://open.spotify.com/track/6svBgFCnXYst3N8OJJ1XAB,51,51
三代目 J Soul Brothers from EXILE TRIBE,R.Y.U.S.E.I.,92,https://open.spotify.com/track/2AVA9gTyJsZaan4PcsNHSn,54,54
大原櫻子,瞳,91,https://open.spotify.com/track/0CpElcrLvqZyGUa4tc3Zcn,40,46
凛として時雨,Who What Who What,89,https://open.spotify.com/track/0FLvllAtJg4ut2u0OiEg4m,47,40
w-inds.,FANTASY,87,https://open.spotify.com/track/2Vz6FjwMfWRpqI2zgvOBTO,39,5
黒木渚,虎視眈々と淡々と,86,https://open.spotify.com/track/6UH6bx76Dnzg6Dt2tYnQjH,23,17
三代目 J Soul Brothers from EXILE TRIBE,O.R.I.O.N.,85,https://open.spotify.com/track/4tpvAxVQFZiFIaQ610YHR8,54,46
米津玄師,Flowerwall,84,https://open.spotify.com/track/1hmMuKG0w5DUa6NOTCT119,80,51
SEKAI NO OWARI,マーメイドラプソディー,83,https://open.spotify.com/track/7EBmiPB0VpJ5L8ts6R71TS,64,49
NEWS,KAGUYA,82,https://open.spotify.com/track/1S5ji9FWSm9iDXghdAJuR7,54,35
西野カナ,Darling,80,https://open.spotify.com/track/5ifBjexppI1XZOx5eBqnJZ,63,56
Rihwa,Snowing Day,79,https://open.spotify.com/track/4HPiAx94NF1eCgj0sHeCbF,33,13
TRUSTRICK,FLYING FAFNIR,78,https://open.spotify.com/track/7Ijx0eI4WwzWMfmW603cSH,26,26
水樹奈々,エデン,77,https://open.spotify.com/track/6V7RH9hdoz51ieBd3EgduC,48,15
SEKAI NO OWARI,RPG,76,https://open.spotify.com/track/7facNrW6VRW8s3ICZ8G1uW,64,65
KANA-BOON,シルエット,75,https://open.spotify.com/track/1di1C0QI6Y92yZPYn6XYAZ,61,75
空想委員会,春恋、覚醒,74,https://open.spotify.com/track/5SioDw8dX9nKDGcjOScVja,17,3
AKB48,心のプラカード,72,https://open.spotify.com/track/5ki1rwuKiQby52DL9udM0Z,56,28
ONE OK ROCK,Cry out,71,https://open.spotify.com/track/1yDQHmQ4uxcC3qrYpd702l,71,52
