アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
GReeeeN,ミセナイナミダハ、きっといつか,97,https://open.spotify.com/track/7dXtfhiKAKDVMPzcljRYsm,62,40
T-ARA,Roly-Poly,96,https://open.spotify.com/track/2dCYxIY1IrPXn30EawLI7W,56,59
AKB48,GIVE ME FIVE!,95,https://open.spotify.com/track/2N5AQUkYb09nxNpUkNSC5x,56,40
BONNIE PINK,冷たい雨,94,https://open.spotify.com/track/5AAT1Xo1OzgIQZwmV1syOs,41,19
安田奈央,真夜中のひだまり,93,https://open.spotify.com/track/7snHGYQFrFWQBxJIJTfB0s,29,3
いきものがかり,KISS KISS BANG BANG,92,https://open.spotify.com/track/6X0jP7E6j8V85FEmKibIkn,63,19
Hey!Say!JUMP,SUPER DELICATE,89,https://open.spotify.com/track/6XR7xmFd5JAJhTXWaE2kVi,57,31
家入レオ,サブリナ,86,https://open.spotify.com/track/6kokaq4Inu2mRIzeUFffIr,52,31
乃木坂46,ぐるぐるカーテン,85,https://open.spotify.com/track/7jhhXXvjfuTdUS8gUSHKOk,61,34
AI,ハピネス,80,https://open.spotify.com/track/4Ls20opS0EzPb7NuA6F8VI,56,60
藤巻亮太,光をあつめて,77,https://open.spotify.com/track/3Nij304tPD3OBs9vSwxDzB,28,9
FUNKY MONKEY BABYS,この世界に生まれたわけ,74,https://open.spotify.com/track/3nKYr5dzYye6Imv7ZIbm0u,53,34
ナオト・インティライミ,君に逢いたかった,70,https://open.spotify.com/track/5RpNo70DUT8BFhmn1untQs,46,33
THE BAWDIES,ROCK ME BABY,64,https://open.spotify.com/track/4tEkbMXIaUUOqq45lInqkZ,34,29
KARA,STEP,63,https://open.spotify.com/track/1RBCcswdovEHMitzulpm9s,51,42
HY,ガジュマルビート,61,https://open.spotify.com/track/04IOGCPvkhxQrh0RVsmNjg,57,9
氷川きよし,櫻,57,https://open.spotify.com/track/4Kr44a1v9I882afXXurwvs,42,12
レミオロメン,3月9日,56,https://open.spotify.com/track/31rf3jLBMfnrqLuTPrcxM5,52,55
平原綾香,NOT A LOVE SONG,55,https://open.spotify.com/track/6ULyVLNqqlwTN5k3IbMy3n,43,5
ダイスケ,あなたにしかできないこと,54,https://open.spotify.com/track/0rnfb631QLrDrGaUQAhVQd,35,8
Rake,フタリヒトツ,53,https://open.spotify.com/track/4UA5r1FPiY5dd5rgpSGTyu,41,6
トータス松本,ブランコ,52,https://open.spotify.com/track/3YBwjxpTaooib2jqA85bxV,32,11
back number,恋,50,https://open.spotify.com/track/7wmYvSAV5gSkmtXrjuNmiW,77,57
AI,INDEPENDENT WOMAN,45,https://open.spotify.com/track/5K7rxPt9kK17qs5W9laGxU,56,20
Crystal Kay,デリシャスな金曜日,44,https://open.spotify.com/track/5lrsJFY4dNv3DAqPXaufOl,50,17
きゃりーぱみゅぱみゅ,つけまつける,41,https://open.spotify.com/track/3ou1fnaevjh2rj6gSNLTim,52,43
SCANDAL,HARUKAZE,40,https://open.spotify.com/track/1GSPV6AYG8NrtpgqhWx893,48,51
クレイジーケンバンド,不良倶楽部,35,https://open.spotify.com/track/28aqoNZ1xZKqaIpogUQ0gF,40,11
絢香,はじまりのとき,34,https://open.spotify.com/track/3XI5r4smeQGQDUVG5Bs6sV,55,38
三代目 J Soul Brothers,Go my way,30,https://open.spotify.com/track/5mMQzcCJP3AaWbJDFmxRER,55,34
斉藤和義,やさしくなりたい,29,https://open.spotify.com/track/4XkqVSWIPb07iLEDvAPq93,53,59
SKE48,片想いFinally,25,https://open.spotify.com/track/6oMiXNscelzq5QHgLjpUQi,33,28
V6,バリバリBUDDY!,19,https://open.spotify.com/track/5BQC0GhQhRWGI9HYdEYjBy,56,26
いきものがかり,いつだって僕らは,16,https://open.spotify.com/track/634fGMgXpMTACD6PW1QsPY,63,43
松任谷由実,恋をリリース,13,https://open.spotify.com/track/5VICZXLg11zsYy4rTmWMxs,59,7
きゃりーぱみゅぱみゅ,CANDY CANDY,12,https://open.spotify.com/track/4r53usGeVPzb1fKUUSxN1w,52,47
FLiP,ワンダーランド,11,https://open.spotify.com/track/739A7mfu5MU35xPYhwmyUq,28,41
ゆず,栄光の架橋,7,https://open.spotify.com/track/6LtgrHfq3Q7O9PHcAZxkEH,56,54
Aqua Timez,MASK,6,https://open.spotify.com/track/3YZjXndB9qLFFGlBbEJXO1,53,27
