Artist,Track,URL,MP3_Path,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Rhythm1,Rhythm2,Rhythm3,Rhythm4,Rhythm5,Rhythm6,Timbre1,Timbre2,Timbre3,Timbre4,Timbre5,Timbre6,ArousalMean,ArousalStd
ケツメイシ,出会いのかけら,https://open.spotify.com/track/6doG5A9BRiQjWEsyBtkkSF,./downloaded_mp3/ケツメイシ_出会いのかけら.mp3,0.057485852390527725,0.11379770934581757,0.18141095340251923,0.2218918651342392,0.2871284782886505,0.3714263439178467,0.19696275197543126,0.29922940187468094,0.2761424689305446,0.2548611360216823,0.28826770340470725,0.33324297473973147,0.028388921171426773,0.07897810637950897,0.16764049232006073,0.23756614,0.25633562,0.13567432761192322,13675.7556432468,4079.939469200826
ＲＡＤＷＩＭＰＳ,オーダーメイド,https://open.spotify.com/track/1WxQyR4cVfBMbwldZ0vNGn,./downloaded_mp3/ＲＡＤＷＩＭＰＳ_オーダーメイド.mp3,0.07221512655529427,0.12443360686302185,0.1382424235343933,0.22478510439395905,0.3021252751350403,0.30653733015060425,0.1526985242008766,0.24656531652069685,0.22648770109725772,0.1524266346004227,0.10078969893481489,0.0123294053694317,0.031335797160863876,0.08157594501972198,0.15546895563602448,0.26306006,0.31416425,0.20503200590610504,12121.689714962595,5289.013979030345
ＯＮＥ☆ＤＲＡＦＴ,一歩一歩〜終わりなき道しるべ〜,https://open.spotify.com/track/0O4h2EX4nmCxnM2QYWcL1X,./downloaded_mp3/ＯＮＥ☆ＤＲＡＦＴ_一歩一歩〜終わりなき道しるべ〜.mp3,0.0481995948309889,0.0845981240272522,0.1196323111653328,0.1770622879266739,0.27579742670059204,0.3796870708465576,0.13563501142490708,0.18315993188491153,0.22665780304514357,0.2619451321008596,0.4099954481357157,0.3683611935274364,0.02515358477830887,0.06640437990427017,0.13945165276527405,0.22964391,0.25492477,0.11682675778865814,14411.161637133075,5171.393733321705
Ｓｕｐｅｒｆｌｙ,愛をこめて花束を,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,./downloaded_mp3/Superfly_愛をこめて花束を.mp3,0.053376033902168274,0.09524817019701004,0.147274449467659,0.21687844395637512,0.33036550879478455,0.4579448401927948,0.13733840859020527,0.16437824213546806,0.13364360135861858,0.11191037438113402,0.033632425597823194,3.255049427689498e-05,0.028595272451639175,0.07774453610181808,0.1612575203180313,0.23819743,0.271495,0.30881208181381226,15827.52389008222,3349.9129300517443
大橋　卓弥,はじまりの歌,https://open.spotify.com/track/5lmFKtTHZ8xTNTSTaOefE4,./downloaded_mp3/大橋　卓弥_はじまりの歌.mp3,0.0461503230035305,0.08461170643568039,0.14079023897647858,0.20200297236442566,0.25990113615989685,0.2539943754673004,0.17245407912483549,0.20740749612386306,0.2065054665980212,0.22687732190590304,0.19011691870401873,0.1597425132552971,0.02755456417798996,0.07422655075788498,0.15578357875347137,0.23532772,0.20989709,0.09895189106464386,13512.78899414661,2607.189731262338
中ノ森ＢＡＮＤ,風になりたい,https://open.spotify.com/track/2drxMvHdEqlXAER7BtuY8t,./downloaded_mp3/中ノ森ＢＡＮＤ_風になりたい.mp3,0.08500473201274872,0.18382477760314941,0.2660354971885681,0.42646524310112,0.5699789524078369,0.5758424997329712,0.16686950578631932,0.2268512023459782,0.18199040207971923,0.09072238707140627,0.027801335895166715,4.2584061636793675e-05,0.034082069993019104,0.09455292671918869,0.18658804893493652,0.27936655,0.26757258,0.14838646352291107,12615.03921395354,5233.582716963366
奥　華子,手紙,https://open.spotify.com/track/5PRnczMFS4WcHfAXNnTD43,./downloaded_mp3/奥　華子_手紙.mp3,0.09294005358563577,0.1952469419552519,0.2893098310903994,0.37901267409324646,0.5602275729179382,0.6724538207054138,0.1287165456026745,0.13838583957615858,0.12268686987442706,0.13475889635885852,0.10119720497704282,0.02108147025959079,0.027903981506824493,0.07756246626377106,0.15226757526397705,0.23253639,0.24385363,0.11297107487916946,10875.879764527686,4048.807781916406
ＨＯＭＥ　ＭＡＤＥ　家族,おぼえてる。,https://open.spotify.com/track/6xvVaMJqdawujDS4MkG4Dv,./downloaded_mp3/ＨＯＭＥ　ＭＡＤＥ　家族_おぼえてる。.mp3,0.04679092507340567,0.09718180447816849,0.18739652633666992,0.2626782953739166,0.4166162312030792,0.3650059998035431,0.16566111665751798,0.22522868616663047,0.22288047442745387,0.1405988229654511,0.02245031819697272,0.00010514870288671692,0.027965795248746872,0.07294579595327377,0.14604435861110687,0.23494107,0.2759508,0.09214339405298233,13891.210552088469,5506.300281164909
一青　窈,受け入れて,https://open.spotify.com/track/6yVNJXPKDf7rjRR3ni75UV,./downloaded_mp3/一青　窈_受け入れて.mp3,0.09246852993965149,0.19212709367275238,0.3408460319042206,0.5031551122665405,0.5141454339027405,0.49836283922195435,0.15213181502324508,0.25022026946548526,0.2383153363460883,0.17058005025824477,0.06360120269446459,0.025507668515856032,0.02726791985332966,0.07982847094535828,0.17413589358329773,0.28120738,0.31209016,0.2349831461906433,11225.67489077965,3820.803519602066
ゆず,ストーリー,https://open.spotify.com/track/2uc6vCYdbML7v2wMX7yyds,./downloaded_mp3/ゆず_ストーリー.mp3,0.04188765212893486,0.08627039939165115,0.149985209107399,0.20506927371025085,0.2347918003797531,0.19608989357948303,0.16808999063216049,0.2341792529757467,0.23539512712829935,0.23572995611015155,0.2951045196652704,0.4197855452038013,0.027427243068814278,0.07435125857591629,0.15400542318820953,0.21903388,0.18350844,0.058864373713731766,13439.585520285811,2516.178989808578
