rank,song_title,artist_name,score
1,僕の半分,SMAP,100
2,ハピネス,AI,99
3,やさしくなりたい,斉藤和義,98
4,CHASE,L'Arc〜en〜Ciel,97
5,Love Story,安室奈美恵,96
6,Sit! Stay! Wait! Down!,安室奈美恵,95
7,上からマリコ,AKB48,94
8,クリスマス・イブ,山下達郎,93
10,HERO,Fairies,91
11,We never give up!,Kis-My-Ft2,90
12,ハッピー・クリスマス(戦争は終った),ジョン・レノン,89
13,ザ・サン・ザ・トゥリーズ〜木漏れ日の下で,ロシアン・レッド,88
14,恋人たちのクリスマス,マライア・キャリー,87
15,いつかのメリークリスマス,B'z,86
16,ラスト・クリスマス,ワム!,85
18,ドライビング・フォー・クリスマス,クリス・レア,83
19,恋人たちのクリスマス Duet with マライア・キャリー,ジャスティン・ビーバー,82
20,ウィンターマジック,KARA,81
21,メリクリ,BoA,80
22,LOVE SONG,FUNKY MONKEY BABYS,79
23,Superman,Crystal Kay,78
24,白い恋人達,桑田佳祐,77
25,ワンダフル・クリスマスタイム,ポール・マッカートニー/ウイングス,76
27,メッセージ,植村花菜,74
28,ワット・ザ・ヘル,アヴリル・ラヴィーン,73
30,ウィー・ファウンド・ラヴ feat.カルヴィン・ハリス,リアーナ,71
31,翔,ゆず,70
32,合鍵,BREATHE,69
33,すてきなホリデイ,竹内まりや,68
34,Joy of Love〜happy ever after〜 feat.HISATOMI,SATOMi,67
36,ドゥ・ゼイ・ノウ・イッツ・クリスマス,バンド・エイド,65
38,ママがサンタにキッスした,ジャクソン・ファイブ,63
39,恋人たちのクリスマス,マイケル・ブーブレ,62
40,フライングゲット,AKB48,61
41,風は吹いている,AKB48,60
42,恋人がサンタクロース,松任谷由実,59
43,あなたへ,EXILE,58
44,アワ・デイ・ウィル・カム,エイミー・ワインハウス,57
45,Sonic Fireworks,avengers in sci-fi,56
47,ボーン・ディス・ウェイ,レディー・ガガ,54
48,5・オクロック,T-ペイン,53
51,クリスマス・ソング,ナット・キング・コール,50
52,ホワイト・クリスマス,ビング・クロスビー,49
53,Winter Rose,東方神起,48
54,A winter fairy is melting a snowman,木村カエラ,47
55,マル・マル・モリ・モリ!,薫と友樹、たまにムック。,46
56,ベイビー・アイラブユー,シェネル,45
58,クリスマスなんて、大嫌い!!なんちゃって,クレイジーケンバンド,43
60,約束の場所,ふくい舞,41
61,君とホワイト・キス,ジャスティン・ビーバー,40
62,クリスマス・ライツ,コールドプレイ,39
63,歩いていこう,いきものがかり,38
64,クリスマスキャロルの頃には,稲垣潤一,37
65,Rising Sun,EXILE,36
66,CHRISTMAS TIME IN BLUE.,佐野元春,35
67,Singing!,放課後ティータイム,34
68,ディファレント,ヒメナ・サリニャーナ,33
69,Unmei♪wa♪Endless!,放課後ティータイム,32
70,ストロベリー,Sissy,31
71,ザ・ギフト,マイア・ヒラサワ,30
72,粉雪,レミオロメン,29
73,迷宮ラブソング,嵐,28
75,ハヤテ,堂島孝平,26
76,THE BOYS,少女時代,25
79,ウィ・オール・ゴー・バック・トゥ・ホエア・ウィ・ビロング,R.E.M.,22
80,家族になろうよ,福山雅治,21
81,Present,flumpool,20
83,ロンリー・ボーイ,ブラック・キーズ,18
84,WINTER SONG,DREAMS COME TRUE,17
85,夫婦絆,鳥羽一郎,16
86,ユーアー・ビューティフル(Q;indivi+ Remix with KERI),ジェイムス・ブラント,15
87,特別な恋人,松田聖子,14
88,ふたりだけのクリスマス,イーグルス,13
90,聞かせてよ、愛の歌を,ザーズ,11
91,ワンダフルキューピット,NYC,10
92,ディス・クリスマス,ダニー・ハサウェイ,9
95,マリー・ザ・ナイト,レディー・ガガ,6
97,つけまつける,きゃりーぱみゅぱみゅ,4
99,ニューヨークの夢,ポーグス,2
100,スターライトパレード,SEKAI NO OWARI,1
