アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
KinKi Kids,まだ涙にならない悲しみが,100,https://open.spotify.com/track/19B7qeBWYT4cAzt5PwY18r,55,25
西野カナ,さよなら,98,https://open.spotify.com/track/37xqq1ab0BQpLoSNu1LK7C,63,42
くるり,Remember me,96,https://open.spotify.com/track/0u8X52u3ITJPuE2ER31gQD,50,39
EXILE,EXILE PRIDE〜こんな世界を愛するため〜,95,https://open.spotify.com/track/5BCuAsrrPDX0i6QHiRlwFJ,60,42
南壽あさ子,わたしのノスタルジア,92,https://open.spotify.com/track/3xscoIh2CvIKaZWwXm4eUz,12,3
家入レオ,太陽の女神,91,https://open.spotify.com/track/69RaFIe61qVTkBXmXJPBH5,51,34
AKB48,恋するフォーチュンクッキー,89,https://open.spotify.com/track/3Tw2WaAaeRj0YKtTUogJVz,56,50
E-girls,ごめんなさいのKissing You,88,https://open.spotify.com/track/2OTMaSpL6re81Z1mL9RSb6,46,48
さかいゆう,薔薇とローズ,87,https://open.spotify.com/track/7Mcc9ALtE88f2l34kkyVG6,33,30
May J.,Lovin' you,86,https://open.spotify.com/track/6x0hzykhcCNMeWIkX2HgoS,41,6
平井堅,桔梗が丘,85,https://open.spotify.com/track/1ZUucTplenKPMybfyikXUV,55,34
AKB48,ハート・エレキ,81,https://open.spotify.com/track/6ByhZo0TUz5WV1AZIRHysw,56,20
2PM,Winter Games,78,https://open.spotify.com/track/2GqVeqFkltEYFcAHGBTVT8,52,26
Silent Siren,I×U,77,https://open.spotify.com/track/0BgdMYHx5FZMwouMnulJ0l,47,13
斉藤和義,かげろう,75,https://open.spotify.com/track/0aUQf3YkzpBknafYbcVKwF,53,29
Czecho No Republic,MUSIC,74,https://open.spotify.com/track/1aRFP3Y6jPvmOwDqIA8ie7,25,18
三森すずこ,ユニバーページ,73,https://open.spotify.com/track/2vGCDyLB7Ymcv60TLFh6CE,27,25
斉藤和義,やさしくなりたい,71,https://open.spotify.com/track/4XkqVSWIPb07iLEDvAPq93,53,59
市川由紀乃,流氷波止場,70,https://open.spotify.com/track/3D09Z59Ykv7C7fcdbBDQDD,26,13
忘れらんねえよ,夜間飛行,68,https://open.spotify.com/track/1m56jVwPi1pxBaNMC6OJDh,32,26
RIP SLYME,SLY,67,https://open.spotify.com/track/2sUXtjRxcEXcjrXz9igIo5,55,41
HALLOWEEN JUNKY ORCHESTRA,HALLOWEEN PARTY,66,https://open.spotify.com/track/3dMrhFvPriJjDC3iuLaBXp,23,39
ケラケラ,スターラブレイション,65,https://open.spotify.com/track/0PTGYdQvnVQ1YJ65jxBNoT,35,52
RADWIMPS,五月の蝿,64,https://open.spotify.com/track/3cj1GdMsLxHXqOkqpgVjFn,74,49
GRANRODEO,The Other self,62,https://open.spotify.com/track/61r7HOcil6TQrqbIw5Yuf6,48,37
C & K,みかんハート,60,https://open.spotify.com/track/1H9jJvALjdKH3C3Ol0w765,50,58
柏木由紀,Birthday wedding,56,https://open.spotify.com/track/1RQiMTNMBSQfWUcgQS2ejf,16,5
RADWIMPS,ラストバージン,55,https://open.spotify.com/track/2TqD22QsvKBavgREJTB4gs,74,57
小柳ゆき,One in a million,54,https://open.spotify.com/track/1SBHocJguBmtfbNSyXSOvv,45,13
ポルノグラフィティ,東京デスティニー,53,https://open.spotify.com/track/5oEOmSEVKuN9PgSmjg90QN,62,21
秦基博,Girl,52,https://open.spotify.com/track/33wiNTgVDVM2OntTy8YZnM,56,46
米津玄師,MAD HEAD LOVE,50,https://open.spotify.com/track/52hQcHZh1RwZ8fX9BOwtZa,80,53
Superfly,Bi-Li-Li Emotion,48,https://open.spotify.com/track/6kcPHT9gzdayCzTn4l4z9P,59,41
絢香,ありがとうの輪,46,https://open.spotify.com/track/4xbkUeEbZqMAExMkD4owHO,55,50
Perfume,1mm,45,https://open.spotify.com/track/0tvmgd5UyzvmFj5BbgjvfR,57,35
EXILE,No Limit,44,https://open.spotify.com/track/4PwPgoMh7YcuHn9OwNtVRk,60,27
きゃりーぱみゅぱみゅ,もったいないとらんど,42,https://open.spotify.com/track/3sTaFqWewtfwuLEIZsUn1W,51,29
THE BAWDIES,THE SEVEN SEAS,40,https://open.spotify.com/track/6vhUdnMBuMzNyYGqj1bG4i,33,4
SEKAI NO OWARI,RPG,37,https://open.spotify.com/track/7facNrW6VRW8s3ICZ8G1uW,64,65
天野春子(小泉今日子),潮騒のメモリー,36,https://open.spotify.com/track/53uaNqloMXC475JtyDdJaK,18,34
tofubeats,Don't Stop The Music feat.森高千里,35,https://open.spotify.com/track/4dhYfCbHNHubV2wQduXRqO,48,26
黒木渚,はさみ,34,https://open.spotify.com/track/6xXm3XnT2zqOplIFKMMekI,23,7
斉藤和義,Always,33,https://open.spotify.com/track/7tRBbfA1ookcWguzuiFZbh,53,15
今井美樹,卒業写真,31,https://open.spotify.com/track/30oGazXdD7pezhc5pRFU22,46,39
北川大介,君の住む町で,29,https://open.spotify.com/track/0SjS5uBWyqoFoyxBwWAPLa,14,2
塩ノ谷早耶香,Snow Flakes Love,28,https://open.spotify.com/track/1cPlDnB0JBtLPsOYxBgJP0,17,11
Superfly,愛をこめて花束を,26,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,59,70
八代亜紀,MU-JO,25,https://open.spotify.com/track/55rc3WUOpdVkd4KCG4SQhu,40,12
ケラケラ,友達のフリ,24,https://open.spotify.com/track/2IJwh0u1Jmd6uvQYzLMxIC,35,14
加藤ミリヤ,Lonely Hearts,23,https://open.spotify.com/track/7vmorEoabZznRc0djUqDfO,54,35
capsule,CONTROL,22,https://open.spotify.com/track/71wDBaqiuoKmCJX70SBMCk,44,13
N'夙川BOYS,"Hello,999",21,https://open.spotify.com/track/5RgVq9F48zkkb0D9HDboaJ,20,19
キムウリョンと45トリオ,故郷のうしろ姿,19,https://open.spotify.com/track/1UvAUfZ2BpWJIP5aM7EcPq,1,2
三代目 J Soul Brothers from EXILE TRIBE,冬物語,17,https://open.spotify.com/track/1fmzOJCmfS7aXiZfE21lr6,54,46
Linked Horizon,紅蓮の弓矢,16,https://open.spotify.com/track/0F8psXXh2oxE5BGdkKaoIs,59,51
奇妙礼太郎トラベルスイング楽団,どばどばどかん,14,https://open.spotify.com/track/1SDOzbqKGeycKivEimZo7V,21,6
ZAQ,エキストラレボリューション,12,https://open.spotify.com/track/4kJy9sGFRYnNSHXEEjUxVc,47,18
Perfume,Magic of Love,9,https://open.spotify.com/track/1cYA3YfOwvpaw7Tj87GpHT,57,48
geek sleep sheep,hitsuji,8,https://open.spotify.com/track/4fM8mfj65VI8PTYukLQPbw,10,12
ウラニーノ,音楽はあるか,7,https://open.spotify.com/track/036rzTxlqmnAVP22hVaSFW,2,0
荒井由実,ひこうき雲,5,https://open.spotify.com/track/6QoxIsoqpiaFvUsYwJX8bq,56,45
MAX,Tacata',3,https://open.spotify.com/track/1EYGXK7wlELWOvZfZtMdlZ,37,27
星野源,地獄でなぜ悪い,2,https://open.spotify.com/track/61znEgS6PbjGHLmQcNr0xZ,65,52
