Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.4672373487348735,0.4876237623762376,0.5296685918591859,0.511791804180418
Kurtosis,0.5018853695324283,0.4905045934457699,0.4464555052790347,0.5988962018373784
Length,0.49230769230769234,0.5306020066889632,0.540133779264214,0.664046822742475
Max,0.4974323062558357,0.5751633986928104,0.5917366946778712,0.5788982259570494
Mean,0.48851613767242535,0.4910271862863265,0.528224186420249,0.5655885897950985
Skewness,0.5760971055088702,0.5261437908496731,0.5350140056022409,0.49206349206349204
Std,0.5226190476190476,0.5440476190476191,0.5476190476190477,0.5464285714285714
Sum,0.49158249158249157,0.5335016835016835,0.49696969696969695,0.6437710437710438
Average,0.5047096874017081,0.5223267551111355,0.5269776884614426,0.5751855939719408



training,2012,2013,2014,2015
val,2016
test,2017



Data Shapes
traing_data(%),73.18109399893787
Train,1378
Val,260
Test,245
