Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.48328081232493,0.45912114845938373,0.45036764705882354,0.47540266106442575
Kurtosis,0.47562741312741313,0.555984555984556,0.5244530244530244,0.6101190476190477
Length,0.5036343952984844,0.5723785957315187,0.5391277451283638,0.596659449427776
Max,0.5922514619883041,0.5999269005847954,0.5965643274853801,0.5982456140350877
Mean,0.4741353155339806,0.5379247572815534,0.5053853155339806,0.4720115291262136
Skewness,0.5,0.5,0.5,0.449038185472294
Std,0.5774482109227872,0.5747018204645323,0.5759573132454487,0.6029504080351538
Sum,0.5010309278350515,0.511340206185567,0.500220913107511,0.6393225331369661
Average,0.5134260671288688,0.5389222480864884,0.5240095357515665,0.5554686784896206



training,2016,2017,2018,2019
val,2020
test,2021



Data Shapes
traing_data(%),73.37962962962963
Train,951
Val,178
Test,167
