Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.47096481500151227,0.4582619215646739,0.4619921363040629,0.4436435124508519
Kurtosis,0.5147014701470147,0.48244824482448245,0.5005500550055005,0.6145114511451145
Length,0.5030599755201959,0.5002039983680131,0.47541819665442675,0.6544267645858833
Max,0.6042606516290727,0.5240601503759399,0.5330827067669173,0.6025062656641604
Mean,0.5191919191919192,0.5848484848484848,0.5858585858585859,0.6085858585858586
Skewness,0.4895990352728369,0.47904733192643956,0.5008039393025826,0.48256456637523865
Std,0.5075067560804725,0.516264638174357,0.533279951956761,0.5083575217695926
Sum,0.47813040382463634,0.5687620791374224,0.5246668701047706,0.5931237920862578
Average,0.5109268783334575,0.5142371061524766,0.5144565552442009,0.5634649665828697



training,2009,2010,2011,2012
val,2013
test,2014



Data Shapes
traing_data(%),65.625
Train,1365
Val,370
Test,345
