Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5358974358974359,0.5167032967032967,0.5306959706959706,0.5032234432234433
Kurtosis,0.5152288072018004,0.5118529632408102,0.5070517629407352,0.6336084021005252
Length,0.5125,0.5274038461538462,0.5535256410256411,0.6514423076923077
Max,0.5221793071161048,0.556999063670412,0.5734433520599251,0.6423806179775281
Mean,0.4760109864422627,0.5303880317905564,0.5331638616175782,0.5377805049088359
Skewness,0.5566663743459324,0.46962787570522374,0.5258119208395451,0.55055687099886
Std,0.48104563683732915,0.566245133339188,0.5869705219402243,0.5380404554901789
Sum,0.5331996106309549,0.5307365564437627,0.5391876345830506,0.6426801569275242
Average,0.5165910198089775,0.526244595880887,0.5437313332128337,0.5874640949149004



training,2008,2009,2010,2011
val,2012
test,2013



Data Shapes
traing_data(%),65.48247719635143
Train,1364
Val,349
Test,370
