Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5003804692454026,0.49968294229549776,0.45370957514267596,0.5086239695624604
Kurtosis,0.5978001961608519,0.5707580215776937,0.5343982065293541,0.6073280089673532
Length,0.5035540344872976,0.5598262472028432,0.5433065683822561,0.6014216137949191
Max,0.4893177610027062,0.5732801595214357,0.518444666001994,0.5782652043868395
Mean,0.5386494252873564,0.4839080459770115,0.5392241379310345,0.5445402298850575
Skewness,0.541033434650456,0.512031408308004,0.4791033434650456,0.5339412360688957
Std,0.508635831381733,0.4847775175644028,0.572599531615925,0.5573770491803278
Sum,0.5057220007715058,0.5684711328275684,0.5424971068535425,0.5976597659765976
Average,0.5231366441234138,0.5315919344093072,0.5229103919902285,0.5661446347278064



training,2015,2016,2017,2018
val,2019
test,2020



Data Shapes
traing_data(%),74.22037422037423
Train,1071
Val,194
Test,178
