Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.48858347238078514,0.4907057755920494,0.5262580135241943,0.5269605690699921
Kurtosis,0.506143366437484,0.5419849758085052,0.5176343264578559,0.6297746371275783
Length,0.541025641025641,0.5100961538461539,0.4987179487179487,0.639102564102564
Max,0.572972972972973,0.5486486486486486,0.5891891891891892,0.6270270270270271
Mean,0.527231807951988,0.5237059264816204,0.5102025506376594,0.5
Skewness,0.5188546873629747,0.48130608904089567,0.5662398783945746,0.5660498699172732
Std,0.5523458818696634,0.5813943252838825,0.5559402599688976,0.5672222059211878
Sum,0.5053114437469821,0.5399565427329793,0.5964208112023177,0.6432882665379045
Average,0.5265586592185614,0.5272248046793419,0.5450753722615796,0.5874281424629408



training,2020,2023,2018,2012
val,2016
test,2013



Data Shapes
traing_data(%),60.151802656546494
Train,951
Val,260
Test,370
