Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5016788766788767,0.4892144892144892,0.5314407814407814,0.5162291412291413
Kurtosis,0.5,0.49983994878361077,0.5265685019206147,0.6637857447716602
Length,0.551682401355604,0.5553134834180586,0.5038731541999516,0.6341079641733236
Max,0.5169191919191919,0.6037878787878788,0.6053030303030303,0.6070707070707071
Mean,0.5537162162162161,0.5663006756756757,0.5798141891891893,0.5778716216216215
Skewness,0.4961180124223602,0.5089285714285714,0.4666149068322981,0.483307453416149
Std,0.5118822894896514,0.583715364390211,0.5643497606687791,0.5406357446234746
Sum,0.5427586206896552,0.5567241379310345,0.5656034482758621,0.6787068965517242
Average,0.5218444510964444,0.5454780687036912,0.5429459716038134,0.5877144091822253



training,2016,2019,2010,2022
val,2008
test,2014



Data Shapes
traing_data(%),58.37837837837838
Train,972
Val,348
Test,345
