Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity,
Debut_Score,0.568930410827644,0.54371781051623,0.528506407953048,0.552341597796143,
Kurtosis,0.506427304964539,0.516400709219858,0.526152482269504,0.608045212765958,
Length,0.504584078711986,0.529852415026834,0.545505366726297,0.643000894454383,
Max,0.548787495690151,0.582461786001609,0.578611653832893,0.591311343523733,
Mean,0.542402042402042,0.497835497835498,0.557553557553558,0.573149073149073,
Skewness,0.495124113475177,0.574135638297872,0.463874113475177,0.485815602836879,
Std,0.540869565217391,0.507246376811594,0.499420289855073,0.550434782608696,
Sum,0.519789803220036,0.56115831842576,0.534660107334526,0.634168157423971,
Average,0.528364351813621,0.539101069016907,0.529285497375009,0.579783333069855,
,,,,,
,,,,,
traing,2018,2019,2020,2021,2022
val,2023,,,,
test,2024,,,,
