Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.48120300751879697,0.550125313283208,0.5952380952380952,0.5651629072681704
Kurtosis,0.514041514041514,0.544955044955045,0.544955044955045,0.6514041514041514
Length,0.4855741817767134,0.5280533698255218,0.5550803968525488,0.664728019158399
Max,0.5293917770981991,0.5346585117227319,0.5590100804168083,0.5364140899309096
Mean,0.48869304955104753,0.5359716217714222,0.5140228356058086,0.5926726526992573
Skewness,0.5613014078261833,0.5417913756789713,0.5160181798026826,0.5560913424232347
Std,0.5161401098901098,0.49187271062271065,0.5077838827838828,0.49301739926739924
Sum,0.5215909090909091,0.5681818181818181,0.571590909090909,0.65
Average,0.5122419945991842,0.5369512207551786,0.5454624280932225,0.5886863202689402



training,2020,2021,2022
val,2023
test,2024
