Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5309851403412218,0.5029719317556411,0.5492570170610898,0.558337919647771
Kurtosis,0.5190761915543982,0.5673610324917921,0.5152835956073814,0.5583606928563342
Length,0.5009523809523809,0.5123809523809524,0.579327731092437,0.5840896358543417
Max,0.5504887743044365,0.5666559243742615,0.5979159952733913,0.5935653668492856
Mean,0.623249299719888,0.57109243697479,0.6254341736694677,0.6026890756302521
Skewness,0.563264221158958,0.5209463051568315,0.5817650186071239,0.5676767676767677
Std,0.5187590187590188,0.5112110112110112,0.5113775113775114,0.5012765012765013
Sum,0.5427718832891246,0.5280725022104332,0.5068523430592395,0.6231211317418214
Average,0.5436933637599284,0.5350865120694641,0.5584016732184551,0.5736396364416343



training,2014,2015,2016,2017
val,2018
test,2019



Data Shapes
traing_data(%),72.29813664596273
Train,1164
Val,252
Test,194
